episode,status,n,force_min,force_p05,force_med,force_p95,force_max,force_abs_med,force_abs_max,delta_abs_p95,mask_min,mask_med,mask_max,mask_low_frac,mask_high_frac,nan_count,mask_mode,input_mode
20260726T191400911060_fail,ok,112,-4.144790172576904,-3.5295610427856445,-2.8097198009490967,-1.166424024105072,-0.847537636756897,2.8097198009490967,4.144790172576904,0.8556911945343018,0.1388932317495346,0.14275390654802322,0.1551041603088379,0.0,0.0,0,sam2,edge
20260726T191509696528_fail,ok,120,-4.652942180633545,-4.389842176437378,-3.35329008102417,-0.8738605201244355,-0.596876323223114,3.35329008102417,4.652942180633545,0.8636623382568357,0.13615885376930237,0.13908203691244125,0.15394531190395355,0.0,0.0,0,sam2,edge
20260726T191541600604,ok,198,-5.06273889541626,-4.147937798500061,-2.809921979904175,-1.1354178905487067,-0.8812160491943359,2.809921979904175,5.06273889541626,0.8886618614196776,0.1978645771741867,0.2016666680574417,0.21618489921092987,0.0,0.0,0,sam2,edge
20260726T191626204111_fail,ok,139,-4.160094738006592,-3.982423257827759,-1.86343252658844,-0.5610155761241914,-0.3385372757911682,1.86343252658844,4.160094738006592,0.6783641755580905,0.14097656309604645,0.14411458373069763,0.1709505170583725,0.0,0.0,0,sam2,edge
20260726T191739182487_fail,ok,102,-2.3336668014526367,-1.8063830614089966,-0.6955901086330414,-0.2536715656518937,-0.19752401113510132,0.6955901086330414,2.3336668014526367,0.5698366165161133,0.14246094226837158,0.14468099176883698,0.1529427021741867,0.0,0.0,0,sam2,edge
20260726T191841447847,ok,152,-5.821865081787109,-4.877740359306335,-2.166719436645508,-0.7795868009328843,-0.5235525369644165,2.166719436645508,5.821865081787109,0.7031955122947693,0.13712239265441895,0.14049479365348816,0.15438802540302277,0.0,0.0,0,sam2,edge
20260726T191952760277_fail,ok,92,-16.662508010864258,-16.18760528564453,-12.346189975738525,-0.7937703579664229,-0.41974979639053345,12.346189975738525,16.662508010864258,1.0602326393127441,0.1220703125,0.1259765625,0.15102864801883698,0.0,0.0,0,sam2,edge
20260726T192026989121_fail,ok,114,-6.526437282562256,-6.217718529701233,-3.2324330806732178,-0.8847232550382615,-0.4277106523513794,3.2324330806732178,6.526437282562256,0.7703703880310058,0.13138021528720856,0.13637369126081467,0.15139323472976685,0.0,0.0,0,sam2,edge
20260726T192125541183_fail,ok,88,-3.988002300262451,-3.608756756782532,-2.4683890342712402,-0.8807623296976095,-0.6218606233596802,2.4683890342712402,3.988002300262451,1.002867662906647,0.1356380134820938,0.1386132836341858,0.1551041603088379,0.0,0.0,0,sam2,edge
20260726T192205141926_fail,ok,84,-3.7974443435668945,-3.3510453701019287,-1.5467223525047302,-0.764509066939354,-0.720064640045166,1.5467223525047302,3.7974443435668945,0.8543072342872617,0.14472655951976776,0.20774739235639572,0.2649869918823242,0.0,0.0,0,sam2,edge
20260726T192238254956_fail,ok,120,-6.282671928405762,-6.034463810920715,-2.7522425651550293,-1.2273112595081332,-0.906764805316925,2.7522425651550293,6.282671928405762,0.7619439899921414,0.13485677540302277,0.13766927272081375,0.14964844286441803,0.0,0.0,0,sam2,edge
20260726T192347083452_fail,ok,87,-4.120143890380859,-3.6295672416687013,-2.1444454193115234,-0.7223615229129788,-0.5457289814949036,2.1444454193115234,4.120143890380859,0.9889948070049286,0.1351432353258133,0.14190104603767395,0.1533723920583725,0.0,0.0,0,sam2,edge
20260726T192426732732_fail,ok,121,-6.360574245452881,-5.531403064727783,-3.6375441551208496,-0.7627674341201782,-0.43620675802230835,3.6375441551208496,6.360574245452881,0.8230704605579375,0.13479167222976685,0.1382421851158142,0.15403646230697632,0.0,0.0,0,sam2,edge
20260726T192503671698_fail,ok,103,-8.509612083435059,-7.65090970993042,-5.43344259262085,-1.288473474979401,-0.9557308554649353,5.43344259262085,8.509612083435059,0.9630300521850574,0.1340624988079071,0.13718749582767487,0.15032552182674408,0.0,0.0,0,sam2,edge
20260726T192533747714_fail,ok,133,-5.268129825592041,-4.567346382141113,-2.746413230895996,-0.5138886809349063,-0.3655741810798645,2.746413230895996,5.268129825592041,0.7995120227336874,0.13453124463558197,0.1416015625,0.15312500298023224,0.0,0.0,0,sam2,edge
20260726T192613880734_fail,ok,113,-6.812009811401367,-6.220195198059082,-2.086505651473999,-0.21930559873580943,-0.041417449712753296,2.086505651473999,6.812009811401367,0.49609277248382555,0.13191406428813934,0.1379166692495346,0.15305989980697632,0.0,0.0,0,sam2,edge
20260726T192658625280_fail,ok,114,-4.435202121734619,-3.610175848007202,-2.348861575126648,-0.03896154016256342,0.021463602781295776,2.348861575126648,4.435202121734619,0.4610397338867181,0.13295572996139526,0.13895182311534882,0.15371093153953552,0.0,0.0,0,sam2,edge
20260726T192735435080,ok,101,-2.32177734375,-1.988532304763794,-1.1831185817718506,-0.21898959577083588,-0.01181003451347351,1.1831185817718506,2.32177734375,0.48174037933349606,0.1374218761920929,0.13977864384651184,0.15243490040302277,0.0,0.0,0,sam2,edge
20260726T192801864546_fail,ok,100,-2.178586959838867,-1.893379455804825,-1.2923167943954468,-0.2885949760675431,-0.09365850687026978,1.2923167943954468,2.178586959838867,0.38482190668582905,0.1388411521911621,0.1402929723262787,0.1505468785762787,0.0,0.0,0,sam2,edge
20260726T192837033459,ok,134,-3.7794651985168457,-3.4399293184280397,-2.0684643983840942,-0.6362518787384035,-0.2916632890701294,2.0684643983840942,3.7794651985168457,0.6036562919616698,0.1350390613079071,0.13685546815395355,0.14993490278720856,0.0,0.0,0,sam2,edge
20260726T192911891013,ok,123,-4.847362041473389,-2.779745101928711,-1.7913976907730103,-0.4523731648921974,-0.27120596170425415,1.7913976907730103,4.847362041473389,0.6690032005310056,0.1368229240179062,0.1391145884990692,0.14950521290302277,0.0,0.0,0,sam2,edge
20260726T192953699338_fail,ok,53,-9.528850555419922,-9.457323837280274,-7.604548931121826,-0.6784909963607791,-0.3857971131801605,7.604548931121826,9.528850555419922,1.2398597672581668,0.1242968738079071,0.12897135317325592,0.1489713490009308,0.0,0.0,0,sam2,edge
20260726T193018538851,ok,165,-6.239969253540039,-5.496002578735351,-2.496790885925293,-1.733974909782411,-1.1720577478408813,2.496790885925293,6.239969253540039,0.7113064587116239,0.13463541865348816,0.1398697942495346,0.15390625596046448,0.0,0.0,0,sam2,edge
20260726T193143505576_fail,ok,106,-9.1640625,-8.642216205596924,-2.922250986099243,-1.2709480226039886,-0.8596468567848206,2.922250986099243,9.1640625,0.7830380439758299,0.12557291984558105,0.1394270807504654,0.15014323592185974,0.0,0.0,0,sam2,edge
20260726T193211471198_fail,ok,70,-7.750408172607422,-7.2703962326049805,-3.1324729919433594,-1.4307115077972412,-1.1886539459228516,3.1324729919433594,7.750408172607422,1.4496254920959468,0.13467447459697723,0.13806641101837158,0.15632812678813934,0.0,0.0,0,sam2,edge
20260726T193311787526_fail,ok,58,-3.8185009956359863,-3.1701077938079836,-1.7892168164253235,-1.1507492125034333,-0.996749758720398,1.7892168164253235,3.8185009956359863,1.3069174051284773,0.2047005146741867,0.2612369805574417,0.2642187476158142,0.0,0.0,0,sam2,edge
20260726T193333932114_fail,ok,88,-10.564555168151855,-10.236173963546753,-7.140658378601074,-1.1655425131320967,-0.7906041741371155,7.140658378601074,10.564555168151855,1.0295677781105044,0.13104166090488434,0.13842447847127914,0.15360677242279053,0.0,0.0,0,sam2,edge
20260726T193404210454,ok,160,-4.2626953125,-3.7808536767959593,-2.104668378829956,-0.9468519359827042,-0.5923802852630615,2.104668378829956,4.2626953125,0.9001553535461425,0.2500651180744171,0.26054687798023224,0.26832032203674316,0.0,0.0,0,sam2,edge
20260726T193440463605_fail,ok,91,-12.517098426818848,-11.837823390960693,-2.4029927253723145,-0.4680953174829483,-0.3694307804107666,2.4029927253723145,12.517098426818848,1.341671323776245,0.2165234386920929,0.2533724009990692,0.26950520277023315,0.0,0.0,0,sam2,edge
20260726T193507547046_fail,ok,101,-7.760540962219238,-7.513379096984863,-3.558490753173828,-1.5078543424606323,-0.8878438472747803,3.558490753173828,7.760540962219238,1.1889798879623403,0.14433594048023224,0.20337238907814026,0.25539061427116394,0.0,0.0,0,sam2,edge
20260726T193536877053,ok,124,-5.218919277191162,-4.453369355201721,-3.0980260372161865,-0.5705167919397356,-0.29854708909988403,3.0980260372161865,5.218919277191162,1.123782634735107,0.1368229240179062,0.14041666686534882,0.15778645873069763,0.0,0.0,0,sam2,edge
20260726T193628258651_fail,ok,93,-7.46903657913208,-7.182874393463135,-4.931324481964111,-1.3732579946517953,-1.0329983234405518,4.931324481964111,7.46903657913208,1.4733123481273651,0.13440103828907013,0.13832031190395355,0.1557161509990692,0.0,0.0,0,sam2,edge
20260726T193658927249,ok,106,-10.217127799987793,-8.87747049331665,-6.704264163970947,-1.372655063867569,-1.0860202312469482,6.704264163970947,10.217127799987793,1.0449804067611692,0.13608072698116302,0.13881510496139526,0.1551171839237213,0.0,0.0,0,sam2,edge
20260726T193727437347_fail,ok,101,-12.099984169006348,-11.59974193572998,-5.4987664222717285,-0.4172461926937103,-0.12202754616737366,5.4987664222717285,12.099984169006348,1.39490213394165,0.1293359398841858,0.13950520753860474,0.1560807228088379,0.0,0.0,0,sam2,edge
